Channel A: 
Mode: 2
N1/T1: 97.72 µs
Channel B: 
Mode: 1
N2/T2: 97.72 µs
tau (ms)	g2 Values
-2.109465652	0.0
-2.107465652	0.0
-2.1054656520000004	0.0
-2.1034656520000006	0.0
-2.101465652000001	0.0
-2.099465652000001	0.0
-2.0974656520000012	0.0
-2.0954656520000015	0.0
-2.0934656520000017	0.0
-2.091465652000002	0.0
-2.089465652000002	0.0
-2.0874656520000023	0.0
-2.0854656520000026	0.0
-2.0834656520000028	0.0
-2.081465652000003	0.0
-2.079465652000003	0.0
-2.0774656520000034	0.0
-2.0754656520000037	0.0
-2.073465652000004	0.0
-2.071465652000004	0.0
-2.0694656520000043	0.0
-2.0674656520000045	0.0
-2.0654656520000048	0.0
-2.063465652000005	0.0
-2.061465652000005	0.0
-2.0594656520000054	0.0
-2.0574656520000056	0.0
-2.055465652000006	0.0
-2.053465652000006	0.0
-2.0514656520000063	0.0
-2.0494656520000065	0.0
-2.0474656520000067	0.0
-2.045465652000007	0.0
-2.043465652000007	0.0
-2.0414656520000074	0.0
-2.0394656520000076	0.0
-2.037465652000008	0.0
-2.035465652000008	0.0
-2.0334656520000083	0.0
-2.0314656520000085	0.0
-2.0294656520000087	0.0
-2.027465652000009	0.0
-2.025465652000009	0.0
-2.0234656520000094	0.0
-2.0214656520000096	0.0
-2.01946565200001	0.0
-2.01746565200001	0.0
-2.0154656520000103	0.0
-2.0134656520000105	0.0
-2.0114656520000107	0.0
-2.009465652000011	0.0
-2.007465652000011	0.0
-2.0054656520000114	0.0
-2.0034656520000116	0.0
-2.001465652000012	0.0
-1.999465652000012	0.0
-1.9974656520000122	0.0
-1.9954656520000125	0.0
-1.9934656520000127	0.0
-1.991465652000013	0.0
-1.9894656520000131	0.0
-1.9874656520000133	0.0
-1.9854656520000136	0.0
-1.9834656520000138	0.0
-1.981465652000014	0.0
-1.9794656520000142	0.0
-1.9774656520000145	0.0
-1.9754656520000147	0.0
-1.973465652000015	0.0
-1.9714656520000151	0.0
-1.9694656520000153	0.0
-1.9674656520000156	0.0
-1.9654656520000158	0.0
-1.963465652000016	0.0
-1.9614656520000162	0.0
-1.9594656520000164	0.0
-1.9574656520000167	0.0
-1.9554656520000169	0.0
-1.953465652000017	0.0
-1.9514656520000173	0.0
-1.9494656520000175	0.0
-1.9474656520000178	0.0
-1.945465652000018	0.0
-1.9434656520000182	0.0
-1.9414656520000184	0.0
-1.9394656520000186	0.0
-1.9374656520000189	0.0
-1.935465652000019	0.0
-1.9334656520000193	0.0
-1.9314656520000195	0.0
-1.9294656520000197	0.0
-1.92746565200002	0.0
-1.9254656520000202	0.0
-1.9234656520000204	0.0
-1.9214656520000206	0.0
-1.9194656520000208	0.0
-1.917465652000021	0.0
-1.9154656520000213	0.0
-1.9134656520000215	0.0
-1.9114656520000217	0.0
-1.909465652000022	0.0
-1.9074656520000222	0.0
-1.9054656520000224	0.0
-1.9034656520000226	0.0
-1.9014656520000228	0.0
-1.899465652000023	0.0
-1.8974656520000233	0.0
-1.8954656520000235	0.0
-1.8934656520000237	0.0
-1.891465652000024	0.0
-1.8894656520000241	0.0
-1.8874656520000244	0.0
-1.8854656520000246	0.0
-1.8834656520000248	0.0
-1.881465652000025	0.0
-1.8794656520000252	0.0
-1.8774656520000255	0.0
-1.8754656520000257	0.0
-1.873465652000026	0.0
-1.8714656520000261	0.0
-1.8694656520000263	0.0
-1.8674656520000266	0.0
-1.8654656520000268	0.0
-1.863465652000027	0.0
-1.8614656520000272	0.0
-1.8594656520000274	0.0
-1.8574656520000277	0.0
-1.8554656520000279	0.0
-1.853465652000028	0.0
-1.8514656520000283	0.0
-1.8494656520000285	0.0
-1.8474656520000288	0.0
-1.845465652000029	0.0
-1.8434656520000292	0.0
-1.8414656520000294	0.0
-1.8394656520000296	0.0
-1.8374656520000299	0.0
-1.83546565200003	0.0
-1.8334656520000303	0.0
-1.8314656520000305	0.0
-1.8294656520000308	0.0
-1.827465652000031	0.0
-1.8254656520000312	0.0
-1.8234656520000314	0.0
-1.8214656520000316	0.0
-1.8194656520000319	0.0
-1.817465652000032	0.0
-1.8154656520000323	0.0
-1.8134656520000325	0.0
-1.8114656520000327	0.0
-1.809465652000033	0.0
-1.8074656520000332	0.0
-1.8054656520000334	0.0
-1.8034656520000336	0.0
-1.8014656520000338	0.0
-1.799465652000034	0.0
-1.7974656520000343	0.0
-1.7954656520000345	0.0
-1.7934656520000347	0.0
-1.791465652000035	0.0
-1.7894656520000352	0.0
-1.7874656520000354	0.0
-1.7854656520000356	0.0
-1.7834656520000358	0.0
-1.781465652000036	0.0
-1.7794656520000363	0.0
-1.7774656520000365	0.0
-1.7754656520000367	0.0
-1.773465652000037	0.0
-1.7714656520000371	0.0
-1.7694656520000374	0.0
-1.7674656520000376	0.0
-1.7654656520000378	0.0
-1.763465652000038	0.0
-1.7614656520000382	0.0
-1.7594656520000385	0.0
-1.7574656520000387	0.0
-1.755465652000039	0.0
-1.7534656520000391	0.0
-1.7514656520000393	0.0
-1.7494656520000396	0.0
-1.7474656520000398	0.0
-1.74546565200004	0.0
-1.7434656520000402	0.0
-1.7414656520000404	0.0
-1.7394656520000407	0.0
-1.7374656520000409	0.0
-1.735465652000041	0.0
-1.7334656520000413	0.0
-1.7314656520000415	0.0
-1.7294656520000418	0.0
-1.727465652000042	0.0
-1.7254656520000422	0.0
-1.7234656520000424	0.0
-1.7214656520000426	0.0
-1.7194656520000429	0.0
-1.717465652000043	0.0
-1.7154656520000433	0.0
