Channel A: 
Mode: 2
N1/T1: 829.03 µs
Channel B: 
Mode: 1
N2/T2: 829.03 µs
tau (ms)	g2 Values
-3.999966598	0.0
-3.983966598	0.0
-3.967966598	0.0
-3.951966598	0.0
-3.935966598	0.0
-3.919966598	0.0
-3.903966598	0.0
-3.8879665979999998	0.0
-3.8719665979999998	0.0
-3.8559665979999997	0.0
-3.8399665979999997	0.0
-3.8239665979999997	0.0
-3.8079665979999997	0.0
-3.7919665979999997	0.0
-3.7759665979999997	0.0
-3.7599665979999997	0.0
-3.7439665979999996	0.0
-3.7279665979999996	0.0
-3.7119665979999996	0.0
-3.6959665979999996	0.0
-3.6799665979999996	0.0
-3.6639665979999996	0.0
-3.6479665979999996	0.0
-3.6319665979999995	0.0
-3.6159665979999995	0.0
-3.5999665979999995	0.0
-3.5839665979999995	0.0
-3.5679665979999995	0.0
-3.5519665979999995	0.0
-3.5359665979999995	0.0
-3.5199665979999994	0.0
-3.5039665979999994	0.0
-3.4879665979999994	0.0
-3.4719665979999994	0.0
-3.4559665979999994	0.0
-3.4399665979999994	0.0
-3.4239665979999994	0.0
-3.4079665979999993	0.0
-3.3919665979999993	0.0
-3.3759665979999993	0.0
-3.3599665979999993	0.0
-3.3439665979999993	0.0
-3.3279665979999993	0.0
-3.3119665979999993	0.0
-3.2959665979999992	0.0
-3.2799665979999992	0.0
-3.263966597999999	0.0
-3.247966597999999	0.0
-3.231966597999999	0.0
-3.215966597999999	0.0
-3.199966597999999	0.0
-3.183966597999999	0.0
-3.167966597999999	0.0
-3.151966597999999	0.0
-3.135966597999999	0.0
-3.119966597999999	0.0
-3.103966597999999	0.0
-3.087966597999999	0.0
-3.071966597999999	0.0
-3.055966597999999	0.0
-3.039966597999999	0.0
-3.023966597999999	0.0
-3.007966597999999	0.0
-2.991966597999999	0.0
-2.975966597999999	0.0
-2.959966597999999	0.0
-2.943966597999999	0.0
-2.927966597999999	0.0
-2.911966597999999	0.0
-2.895966597999999	0.0
-2.879966597999999	0.0
-2.863966597999999	0.0
-2.847966597999999	0.0
-2.831966597999999	0.0
-2.815966597999999	0.0
-2.799966597999999	0.0
-2.783966597999999	0.0
-2.767966597999999	0.0
-2.7519665979999988	0.0
-2.7359665979999988	0.0
-2.7199665979999987	0.0
-2.7039665979999987	0.0
-2.6879665979999987	0.0
-2.6719665979999987	0.0
-2.6559665979999987	0.0
-2.6399665979999987	0.0
-2.6239665979999987	0.0
-2.6079665979999986	0.0
-2.5919665979999986	0.0
-2.5759665979999986	0.0
-2.5599665979999986	0.0
-2.5439665979999986	0.0
-2.5279665979999986	0.0
-2.5119665979999986	0.0
-2.4959665979999985	0.0
-2.4799665979999985	0.0
-2.4639665979999985	0.0
-2.4479665979999985	0.0
-2.4319665979999985	0.0
-2.4159665979999985	0.0
-2.3999665979999985	0.0
-2.3839665979999984	0.0
-2.3679665979999984	0.0
-2.3519665979999984	0.0
-2.3359665979999984	0.0
-2.3199665979999984	0.0
-2.3039665979999984	0.0
-2.2879665979999984	0.0
-2.2719665979999983	0.0
-2.2559665979999983	0.0
-2.2399665979999983	0.0
-2.2239665979999983	0.0
-2.2079665979999983	0.0
-2.1919665979999983	0.0
-2.1759665979999983	0.0
-2.1599665979999982	0.0
-2.1439665979999982	0.0
-2.127966597999998	0.0
-2.111966597999998	0.0
-2.095966597999998	0.0
-2.079966597999998	0.0
-2.063966597999998	0.0
-2.047966597999998	0.0
-2.031966597999998	0.0
-2.015966597999998	0.0
-1.999966597999998	0.0
-1.983966597999998	0.0
-1.967966597999998	0.0
-1.951966597999998	0.0
-1.935966597999998	0.0
-1.919966597999998	0.0
-1.903966597999998	0.0
-1.887966597999998	0.0
-1.871966597999998	0.0
-1.855966597999998	0.0
-1.839966597999998	0.0
-1.823966597999998	0.0
-1.807966597999998	0.0
-1.791966597999998	0.0
-1.775966597999998	0.0
-1.7599665979999979	0.0
-1.7439665979999979	0.0
-1.7279665979999979	0.0
-1.7119665979999978	0.0
-1.6959665979999978	0.0
-1.6799665979999978	0.0
-1.6639665979999978	0.0
-1.6479665979999978	0.0
-1.6319665979999978	0.0
-1.6159665979999978	0.0
-1.5999665979999977	0.0
-1.5839665979999977	0.0
-1.5679665979999977	0.0
-1.5519665979999977	0.0
-1.5359665979999977	0.0
-1.5199665979999977	0.0
-1.5039665979999977	0.0
-1.4879665979999976	0.0
-1.4719665979999976	0.0
-1.4559665979999976	0.0
-1.4399665979999976	0.0
-1.4239665979999976	0.0
-1.4079665979999976	0.0
-1.3919665979999976	0.0
-1.3759665979999975	0.0
-1.3599665979999975	0.0
-1.3439665979999975	0.0
-1.3279665979999975	0.0
-1.3119665979999975	0.0
-1.2959665979999975	0.0
-1.2799665979999975	0.0
-1.2639665979999974	0.0
-1.2479665979999974	0.0
-1.2319665979999974	0.0
-1.2159665979999974	0.0
-1.1999665979999974	0.0
-1.1839665979999974	0.0
-1.1679665979999974	0.0
-1.1519665979999973	0.0
-1.1359665979999973	0.0
-1.1199665979999973	0.0
-1.1039665979999973	0.0
-1.0879665979999973	0.0
-1.0719665979999973	0.0
-1.0559665979999973	0.0
-1.0399665979999972	0.0
-1.0239665979999972	0.0
-1.0079665979999972	0.0
-0.9919665979999972	0.0
-0.9759665979999972	0.0
-0.9599665979999972	0.0
-0.9439665979999972	0.0
-0.9279665979999971	0.0
-0.9119665979999971	0.0
-0.8959665979999971	0.0
-0.8799665979999971	0.0
-0.8639665979999971	0.0
-0.8479665979999971	0.0
-0.8319665979999971	0.0
-0.815966597999997	0.0
-0.799966597999997	0.0
-0.783966597999997	0.0
-0.767966597999997	0.0
-0.751966597999997	0.0
-0.735966597999997	0.0
-0.719966597999997	0.0
-0.703966597999997	0.0
-0.6879665979999969	0.0
-0.6719665979999969	0.0
-0.6559665979999969	0.0
-0.6399665979999969	0.0
-0.6239665979999969	0.0
-0.6079665979999969	0.0
-0.5919665979999968	0.0
-0.5759665979999968	0.0
-0.5599665979999968	0.0
-0.5439665979999968	0.0
-0.5279665979999968	0.0
-0.5119665979999968	0.0
-0.49596659799999676	0.0
-0.47996659799999675	0.0
-0.46396659799999673	0.0
-0.4479665979999967	0.0
-0.4319665979999967	0.0
-0.4159665979999967	0.0
-0.3999665979999967	0.0
-0.38396659799999666	0.0
-0.36796659799999665	0.0
-0.35196659799999663	0.0
-0.3359665979999966	0.0
-0.3199665979999966	0.0
-0.3039665979999966	0.0
-0.2879665979999966	0.0
-0.27196659799999656	0.0
-0.25596659799999655	0.0
-0.23996659799999653	0.0
-0.22396659799999652	0.0
-0.2079665979999965	0.0
