DifferenceValue 	 Stop
813626859	1
1067608386	2
1992625755	3
3500634120	4
82013077	1
583039193	2
731015751	3
1219058490	4
2191019354	5
817781302	1
975761092	2
2200811571	3
2266793265	4
3001820863	5
102790087	1
242823306	2
1040810873	3
1083794270	4
2847807446	5
368551759	1
1157550888	2
2415509838	3
2538533063	4
2674514483	5
1156895048	1
2155895919	2
2318914140	3
2792903680	4
3361901646	5
1488900016	1
2083897749	2
2837883892	3
3474881451	4
3664861401	5
848196908	1
917183480	2
1944182551	3
2196160657	4
3055160018	5
112157589	1
820215268	2
1514201439	3
2295200684	4
3824168043	5
88925835	1
581923860	2
904945285	3
1007885051	4
1732882901	5
600103457	1
682163576	2
961103225	3
2483113503	4
3291151266	5
839165214	1
1292164749	2
1313148034	3
1365169857	4
2840193362	5
78015735	1
196957241	2
301975556	3
508008767	4
1326954686	5
194846352	1
384826188	2
652804307	3
1265875523	4
1470816890	5
846342824	1
1115362510	2
1891340152	3
1997321562	4
2820320749	5
646815693	1
667797368	2
2277803967	3
2557785294	4
3103773046	5
403654862	1
981612696	2
1862639931	3
3243633773	4
3845621456	5
7872212	1
759831432	2
1048847867	3
1922823534	4
2181845195	5
452888002	1
1727885332	2
2180834905	3
2615860966	4
3893871414	5
411482055	1
1232481300	2
2491480255	3
3049519687	4
3182539722	5
738762142	1
1816802869	2
1878747850	3
2193759121	4
2958786660	5
1122570344	1
1454549950	2
1935551228	3
2732573598	4
3621587601	5
593304362	1
1066307157	2
2418345605	3
2992333409	4
3204309712	5
381034712	1
766994477	2
2775965759	3
2823989013	4
3321016749	5
333803320	1
486743260	2
558804772	3
1365802390	4
1664752150	5
2755077725	1
2967057703	2
2987800904	3
3474037190	4
3941064999	5
129051233	1
392044205	2
619060583	3
1787019579	4
1807762842	5
1774578867	1
2062611767	2
2625557915	3
3034559308	4
3268619080	5
548934248	1
1326913629	2
1649934886	3
3928903117	4
3949643121	5
438711916	1
1007738157	2
2146710696	3
2440690171	4
2789708374	5
409681631	1
2018748547	2
2385689999	3
2406429888	4
3582724025	5
259368266	1
294351606	2
595358050	3
834299555	4
983321130	5
173733726	1
233755463	2
546775108	3
1223771098	4
1349751162	5
277305687	1
828303422	2
1695303016	3
1880322836	4
2412310932	5
543879184	1
930878952	2
2342839407	3
2541857623	4
3440857159	5
54222528	1
1412259757	2
1838222819	3
3023220321	4
3742221367	5
