DifferenceValue 	 Stop
1208222185	3
1541242344	4
1710235790	5
314112804	1
512104574	2
2046114079	3
2211136011	4
3504138387	5
125592618	1
1488591922	2
1509335306	3
1763625348	4
2052566852	5
399134748	1
3025139971	2
3305168119	3
3912107824	4
841676836	1
1917716387	2
1953659682	3
2009682806	4
3062687210	5
628750348	1
748695563	2
956755395	3
1510709137	4
2614745939	5
941277804	1
1653310585	2
2745268115	3
3023247853	4
3829290743	5
368498724	1
482518562	2
1683570679	3
2151550318	4
3159507773	5
505060412	1
1043039875	2
2164999014	3
3213056235	4
3860050665	5
708169920	1
1624127205	2
1847147163	3
2653122969	4
2796144611	5
649836679	1
707860078	2
1437813371	3
3370883129	4
3607821558	5
1035100723	1
3062065400	2
3190090457	3
3254035381	4
3968105189	5
751557738	1
2057514130	2
2431494077	3
2612512330	4
3034492219	5
309320041	1
1267290257	2
1941322129	3
1969345506	4
2297327118	5
164552635	1
1188511142	2
1585531337	3
2015564763	4
3349524954	5
377440517	1
416422233	2
465403839	3
881392176	4
3910419390	5
468494372	1
596519263	2
885510734	3
917534058	4
1612473530	5
1531661966	1
2229691852	2
3307653552	3
3657713498	4
973464608	1
1039486365	2
3098454036	3
3167437442	4
3752455138	5
449635613	1
497657304	2
896593818	3
2665645182	4
3744645009	5
757318764	1
1115300262	2
1645333413	3
2928348203	4
3584301248	5
1397227078	1
1578246866	2
1815188429	3
1841211699	4
151359788	1
1027400605	2
1172423797	3
3291383187	4
3437364839	5
994953225	1
1345944579	2
1858005861	3
2647006731	4
3134986300	5
169289299	1
218272737	2
1349270881	3
2415299044	4
3319287327	5
686738168	1
974716185	2
1249737472	3
1516757224	4
2550712763	5
60202246	1
715193306	2
1346187906	3
2389185526	4
3115168426	5
253500000	1
1376497912	2
1729491128	3
3113450709	4
672813776	1
1886825668	2
2679773983	3
2705797418	4
3380790921	5
1324596875	1
2296573447	2
2636553454	3
3321623434	4
3477603312	5
390115545	1
1051050434	2
2373090543	3
2694077234	4
3754112354	5
460925023	1
1367925197	2
1578946669	3
3511918234	4
302621056	1
404640950	2
643632656	3
1424581061	4
2317581177	5
424818881	1
1257814588	2
1565792485	3
1931767249	4
3637775603	5
295026176	1
1055066040	2
1579046137	3
2043077703	4
2602097496	5
1324728301	1
1361708387	2
3467712390	3
3599772512	4
3850764331	5
420183148	1
1171211467	2
1696203169	3
2106184714	4
3845174733	5
549186862	1
591128478	2
1493186746	3
1777166862	4
3567178514	5
106056703	1
468109753	2
1819109348	3
2655070622	4
2710053978	5
239102103	1
1950070096	2
2247088245	3
2441069458	4
3077102103	5
582359742	1
1463358814	2
2248357886	3
2674335667	4
2782358930	5
351239728	1
501221274	2
2047271878	3
2641224756	4
3060254526	5
1225021287	1
2607029903	2
3073007598	3
3479998956	4
3837018677	5
71426424	1
280446256	2
332389439	3
2032395818	4
1058359794	1
1233379527	2
2152378540	3
2173120067	4
3569336934	5
153004236	1
1282962047	2
2127960074	3
3180957985	4
3321977948	5
651199143	1
2182252030	2
2464233415	3
3402194807	4
3508214800	5
516808615	1
537551830	2
871789884	3
1598800786	4
2934759626	5
522784308	1
935805713	2
1563756787	3
1682820157	4
3396780538	5
1616795511	1
1671778695	2
1787811920	3
2266832968	4
3657839810	5
810379524	1
1602378770	2
1886411715	3
3356388630	4
3635408351	5
346449631	1
538402732	2
1324388395	3
2645458383	4
3397442318	5
190059889	1
243043117	2
2258087628	3
2719075383	4
686706937	1
1630665962	2
2000645713	3
2577711810	4
3602709141	5
427372214	1
1566372736	2
1880352554	3
1915335894	4
2150350639	5
42014856	1
801015785	2
1528026520	3
1976005919	4
3968015378	5
353564183	1
645545382	2
1809586123	3
2029537665	4
3051577013	5
899275347	1
1270295241	2
2600255336	3
2898286947	4
3592266994	5
1245531859	1
2360585422	2
2969525650	3
3402597551	4
3573537488	5
1575583795	1
1726525705	2
3677577877	3
3867557800	4
3892541256	5
457396563	1
661378188	2
849358074	3
3057364856	4
3395398012	5
886536920	1
1406518373	2
2752556453	3
3602516113	4
279379699	1
957407832	2
1320349709	3
3454336167	4
3514359744	5
1089578526	1
1719638241	2
1770618096	3
2493639576	4
2841594308	5
1141499478	1
1390442777	2
2574480876	3
2755500928	4
3981457390	5
908891133	1
1032912779	2
1473934308	3
1879886026	4
1908869429	5
995972765	1
1392006206	2
1518991268	3
2443993182	4
3747955249	5
901462593	1
1290454357	2
1466435876	3
2272399513	4
2607419463	5
179927756	1
473987704	2
655967809	3
2586938370	4
3105931874	5
95502205	1
771562384	2
1787517868	3
1886501218	4
3095551535	5
1294073814	1
1845067316	2
2625109393	3
2897091162	4
3579063022	5
21541499	1
2465473430	2
2825533377	3
3367486889	4
3884506962	5
69232314	1
614252264	2
2543222620	3
