Channel A: 
Mode: 2
N1/T1: 249.56 µs
Channel B: 
Mode: 1
N2/T2: 249.56 µs
tau (ms)	g2 Values
-3.996941859	0.0
-3.992941859	0.0
-3.988941859	0.0
-3.984941859	0.0
-3.980941859	0.0
-3.976941859	0.0
-3.972941859	0.0
-3.968941859	0.0
-3.964941859	0.0
-3.960941859	0.0
-3.956941859	0.0
-3.952941859	0.0
-3.948941859	0.0
-3.944941859	0.0
-3.940941859	0.0
-3.936941859	0.0
-3.932941859	0.0
-3.928941859	0.0
-3.924941859	0.0
-3.920941859	0.0
-3.916941859	0.0
-3.912941859	0.0
-3.908941859	0.0
-3.904941859	0.0
-3.900941859	0.0
-3.896941859	0.0
-3.892941859	0.0
-3.888941859	0.0
-3.884941859	0.0
-3.880941859	0.0
-3.876941859	0.0
-3.872941859	0.0
-3.868941859	0.0
-3.864941859	0.0
-3.860941859	0.0
-3.856941859	0.0
-3.852941859	0.0
-3.848941859	0.0
-3.844941859	0.0
-3.840941859	0.0
-3.836941859	0.0
-3.832941859	0.0
-3.828941859	0.0
-3.824941859	0.0
-3.820941859	0.0
-3.816941859	0.0
-3.812941859	0.0
-3.808941859	0.0
-3.804941859	0.0
-3.800941859	0.0
-3.796941859	0.0
-3.792941859	0.0
-3.788941859	0.0
-3.784941859	0.0
-3.780941859	0.0
-3.776941859	0.0
-3.772941859	0.0
-3.768941859	0.0
-3.764941859	0.0
-3.760941859	0.0
-3.756941859	0.0
-3.752941859	0.0
-3.748941859	0.0
-3.744941859	0.0
-3.740941859	0.0
-3.736941859	0.0
-3.732941859	0.0
-3.728941859	0.0
-3.724941859	0.0
-3.720941859	0.0
-3.716941859	0.0
-3.712941859	0.0
-3.708941859	0.0
-3.704941859	0.0
-3.700941859	0.0
-3.696941859	0.0
-3.692941859	0.0
-3.688941859	0.0
-3.684941859	0.0
-3.680941859	0.0
-3.676941859	0.0
-3.672941859	0.0
-3.668941859	0.0
-3.664941859	0.0
-3.660941859	0.0
-3.656941859	0.0
-3.652941859	0.0
-3.648941859	0.0
-3.644941859	0.0
-3.640941859	0.0
-3.6369418589999998	0.0
-3.6329418589999998	0.0
-3.6289418589999998	0.0
-3.6249418589999998	0.0
-3.6209418589999998	0.0
-3.6169418589999998	0.0
-3.6129418589999998	0.0
-3.6089418589999998	0.0
-3.6049418589999997	0.0
-3.6009418589999997	0.0
-3.5969418589999997	0.0
-3.5929418589999997	0.0
-3.5889418589999997	0.0
-3.5849418589999997	0.0
-3.5809418589999997	0.0
-3.5769418589999997	0.0
-3.5729418589999997	0.0
-3.5689418589999997	0.0
-3.5649418589999997	0.0
-3.5609418589999997	0.0
-3.5569418589999997	0.0
-3.5529418589999997	0.0
-3.5489418589999997	0.0
-3.5449418589999997	0.0
-3.5409418589999997	0.0
-3.5369418589999997	0.0
-3.5329418589999997	0.0
-3.5289418589999997	0.0
-3.5249418589999997	0.0
-3.5209418589999997	0.0
-3.5169418589999997	0.0
-3.5129418589999997	0.0
-3.5089418589999997	0.0
-3.5049418589999997	0.0
-3.5009418589999997	0.0
-3.4969418589999997	0.0
-3.4929418589999996	0.0
-3.4889418589999996	0.0
-3.4849418589999996	0.0
-3.4809418589999996	0.0
-3.4769418589999996	0.0
-3.4729418589999996	0.0
-3.4689418589999996	0.0
-3.4649418589999996	0.0
-3.4609418589999996	0.0
-3.4569418589999996	0.0
-3.4529418589999996	0.0
-3.4489418589999996	0.0
-3.4449418589999996	0.0
-3.4409418589999996	0.0
-3.4369418589999996	0.0
-3.4329418589999996	0.0
-3.4289418589999996	0.0
-3.4249418589999996	0.0
-3.4209418589999996	0.0
-3.4169418589999996	0.0
-3.4129418589999996	0.0
-3.4089418589999996	0.0
-3.4049418589999996	0.0
-3.4009418589999996	0.0
-3.3969418589999996	0.0
-3.3929418589999996	0.0
-3.3889418589999996	0.0
-3.3849418589999996	0.0
-3.3809418589999995	0.0
-3.3769418589999995	0.0
-3.3729418589999995	0.0
-3.3689418589999995	0.0
-3.3649418589999995	0.0
-3.3609418589999995	0.0
-3.3569418589999995	0.0
-3.3529418589999995	0.0
-3.3489418589999995	0.0
-3.3449418589999995	0.0
-3.3409418589999995	0.0
-3.3369418589999995	0.0
-3.3329418589999995	0.0
-3.3289418589999995	0.0
-3.3249418589999995	0.0
-3.3209418589999995	0.0
-3.3169418589999995	0.0
-3.3129418589999995	0.0
-3.3089418589999995	0.0
-3.3049418589999995	0.0
-3.3009418589999995	0.0
-3.2969418589999995	0.0
-3.2929418589999995	0.0
-3.2889418589999995	0.0
-3.2849418589999995	0.0
-3.2809418589999995	0.0
-3.2769418589999995	0.0
-3.2729418589999995	0.0
-3.2689418589999995	0.0
-3.2649418589999994	0.0
-3.2609418589999994	0.0
-3.2569418589999994	0.0
-3.2529418589999994	0.0
-3.2489418589999994	0.0
-3.2449418589999994	0.0
-3.2409418589999994	0.0
-3.2369418589999994	0.0
-3.2329418589999994	0.0
-3.2289418589999994	0.0
-3.2249418589999994	0.0
-3.2209418589999994	0.0
-3.2169418589999994	0.0
-3.2129418589999994	0.0
-3.2089418589999994	0.0
-3.2049418589999994	0.0
-3.2009418589999994	0.0
-3.1969418589999994	0.0
-3.1929418589999994	0.0
-3.1889418589999994	0.0
-3.1849418589999994	0.0
-3.1809418589999994	0.0
-3.1769418589999994	0.0
-3.1729418589999994	0.0
-3.1689418589999994	0.0
-3.1649418589999994	0.0
-3.1609418589999994	0.0
-3.1569418589999994	0.0
-3.1529418589999993	0.0
-3.1489418589999993	0.0
-3.1449418589999993	0.0
-3.1409418589999993	0.0
-3.1369418589999993	0.0
-3.1329418589999993	0.0
-3.1289418589999993	0.0
-3.1249418589999993	0.0
-3.1209418589999993	0.0
-3.1169418589999993	0.0
-3.1129418589999993	0.0
-3.1089418589999993	0.0
-3.1049418589999993	0.0
-3.1009418589999993	0.0
-3.0969418589999993	0.0
-3.0929418589999993	0.0
-3.0889418589999993	0.0
-3.0849418589999993	0.0
