Channel A: 
Mode: 2
N1/T1: 333.2 µs
Channel B: 
Mode: 1
N2/T2: 333.2 µs
tau (ms)	g2 Values
-3.999374826	0.0
-3.991374826	0.0
-3.983374826	0.0
-3.975374826	0.0
-3.967374826	0.0
-3.959374826	0.0
-3.951374826	0.0
-3.943374826	0.0
-3.935374826	0.0
-3.927374826	0.0
-3.919374826	0.0
-3.911374826	0.0
-3.903374826	0.0
-3.895374826	0.0
-3.887374826	0.0
-3.879374826	0.0
-3.871374826	0.0
-3.863374826	0.0
-3.855374826	0.0
-3.847374826	0.0
-3.839374826	0.0
-3.831374826	0.0
-3.823374826	0.0
-3.8153748259999998	0.0
-3.8073748259999998	0.0
-3.7993748259999998	0.0
-3.7913748259999998	0.0
-3.7833748259999997	0.0
-3.7753748259999997	0.0
-3.7673748259999997	0.0
-3.7593748259999997	0.0
-3.7513748259999997	0.0
-3.7433748259999997	0.0
-3.7353748259999997	0.0
-3.7273748259999997	0.0
-3.7193748259999997	0.0
-3.7113748259999997	0.0
-3.7033748259999997	0.0
-3.6953748259999997	0.0
-3.6873748259999997	0.0
-3.6793748259999997	0.0
-3.6713748259999996	0.0
-3.6633748259999996	0.0
-3.6553748259999996	0.0
-3.6473748259999996	0.0
-3.6393748259999996	0.0
-3.6313748259999996	0.0
-3.6233748259999996	0.0
-3.6153748259999996	0.0
-3.6073748259999996	0.0
-3.5993748259999996	0.0
-3.5913748259999996	0.0
-3.5833748259999996	0.0
-3.5753748259999996	0.0
-3.5673748259999996	0.0
-3.5593748259999995	0.0
-3.5513748259999995	0.0
-3.5433748259999995	0.0
-3.5353748259999995	0.0
-3.5273748259999995	0.0
-3.5193748259999995	0.0
-3.5113748259999995	0.0
-3.5033748259999995	0.0
-3.4953748259999995	0.0
-3.4873748259999995	0.0
-3.4793748259999995	0.0
-3.4713748259999995	0.0
-3.4633748259999995	0.0
-3.4553748259999995	0.0
-3.4473748259999994	0.0
-3.4393748259999994	0.0
-3.4313748259999994	0.0
-3.4233748259999994	0.0
-3.4153748259999994	0.0
-3.4073748259999994	0.0
-3.3993748259999994	0.0
-3.3913748259999994	0.0
-3.3833748259999994	0.0
-3.3753748259999994	0.0
-3.3673748259999994	0.0
-3.3593748259999994	0.0
-3.3513748259999994	0.0
-3.3433748259999994	0.0
-3.3353748259999993	0.0
-3.3273748259999993	0.0
-3.3193748259999993	0.0
-3.3113748259999993	0.0
-3.3033748259999993	0.0
-3.2953748259999993	0.0
-3.2873748259999993	0.0
-3.2793748259999993	0.0
-3.2713748259999993	0.0
-3.2633748259999993	0.0
-3.2553748259999993	0.0
-3.2473748259999993	0.0
-3.2393748259999993	0.0
-3.2313748259999993	0.0
-3.2233748259999992	0.0
-3.2153748259999992	0.0
-3.2073748259999992	0.0
-3.1993748259999992	0.0
-3.191374825999999	0.0
-3.183374825999999	0.0
-3.175374825999999	0.0
-3.167374825999999	0.0
-3.159374825999999	0.0
