Channel A: 
Mode: 2
N1/T1: 488.11 µs
Channel B: 
Mode: 1
N2/T2: 488.11 µs
tau (ms)	g2 Values
-3.999988084	0.0
-3.991988084	0.0
-3.983988084	0.0
-3.975988084	0.0
-3.967988084	0.0
-3.959988084	0.0
-3.951988084	0.0
-3.943988084	0.0
-3.935988084	0.0
-3.927988084	0.0
-3.919988084	0.0
-3.911988084	0.0
-3.903988084	0.0
-3.895988084	0.0
-3.887988084	0.0
-3.879988084	0.0
-3.871988084	0.0
-3.863988084	0.0
-3.855988084	0.0
-3.847988084	0.0
-3.839988084	0.0
-3.831988084	0.0
-3.823988084	0.0
-3.815988084	0.0
-3.8079880839999998	0.0
-3.7999880839999998	0.0
-3.7919880839999998	0.0
-3.7839880839999998	0.0
-3.7759880839999997	0.0
-3.7679880839999997	0.0
-3.7599880839999997	0.0
-3.7519880839999997	0.0
-3.7439880839999997	0.0
-3.7359880839999997	0.0
-3.7279880839999997	0.0
-3.7199880839999997	0.0
-3.7119880839999997	0.0
-3.7039880839999997	0.0
-3.6959880839999997	0.0
-3.6879880839999997	0.0
-3.6799880839999997	0.0
-3.6719880839999997	0.0
-3.6639880839999996	0.0
-3.6559880839999996	0.0
-3.6479880839999996	0.0
-3.6399880839999996	0.0
-3.6319880839999996	0.0
-3.6239880839999996	0.0
-3.6159880839999996	0.0
-3.6079880839999996	0.0
-3.5999880839999996	0.0
-3.5919880839999996	0.0
-3.5839880839999996	0.0
-3.5759880839999996	0.0
-3.5679880839999996	0.0
-3.5599880839999996	0.0
-3.5519880839999995	0.0
-3.5439880839999995	0.0
-3.5359880839999995	0.0
-3.5279880839999995	0.0
-3.5199880839999995	0.0
-3.5119880839999995	0.0
-3.5039880839999995	0.0
-3.4959880839999995	0.0
-3.4879880839999995	0.0
-3.4799880839999995	0.0
-3.4719880839999995	0.0
-3.4639880839999995	0.0
-3.4559880839999995	0.0
-3.4479880839999995	0.0
-3.4399880839999994	0.0
-3.4319880839999994	0.0
-3.4239880839999994	0.0
-3.4159880839999994	0.0
-3.4079880839999994	0.0
-3.3999880839999994	0.0
-3.3919880839999994	0.0
-3.3839880839999994	0.0
-3.3759880839999994	0.0
-3.3679880839999994	0.0
-3.3599880839999994	0.0
-3.3519880839999994	0.0
-3.3439880839999994	0.0
-3.3359880839999994	0.0
-3.3279880839999993	0.0
-3.3199880839999993	0.0
-3.3119880839999993	0.0
-3.3039880839999993	0.0
-3.2959880839999993	0.0
-3.2879880839999993	0.0
-3.2799880839999993	0.0
-3.2719880839999993	0.0
-3.2639880839999993	0.0
-3.2559880839999993	0.0
-3.2479880839999993	0.0
-3.2399880839999993	0.0
