Channel A: 
Mode: 2
N1/T1: 33.17 µs
Channel B: 
Mode: 1
N2/T2: 33.17 µs
tau (µs)	g2 Values
-441.23763699999995	0.0
-440.72563699999995	0.0
-440.21363699999995	0.0
-439.70163699999995	0.0
-439.18963699999995	0.0
-438.67763699999995	0.0
-438.16563699999995	0.0
-437.65363699999995	0.0
-437.14163699999995	0.0
-436.62963699999995	0.0
-436.11763699999995	0.0
-435.60563699999994	0.0
-435.09363699999994	0.0
-434.58163699999994	0.0
-434.06963699999994	0.0
-433.55763699999994	0.0
-433.04563699999994	0.0
-432.53363699999994	0.0
-432.02163699999994	0.0
-431.50963699999994	0.0
-430.99763699999994	0.0
-430.48563699999994	0.0
-429.97363699999994	0.0
-429.46163699999994	0.0
-428.94963699999994	0.0
-428.43763699999994	0.0
-427.92563699999994	0.0
-427.41363699999994	0.0
-426.90163699999994	0.0
-426.38963699999994	0.0
-425.87763699999994	0.0
-425.36563699999994	0.0
-424.85363699999994	0.0
-424.34163699999993	0.0
-423.82963699999993	0.0
-423.31763699999993	0.0
-422.80563699999993	0.0
-422.29363699999993	0.0
-421.78163699999993	0.0
-421.26963699999993	0.0
-420.75763699999993	0.0
-420.24563699999993	0.0
-419.73363699999993	0.0
-419.22163699999993	0.0
-418.70963699999993	0.0
-418.19763699999993	0.0
-417.68563699999993	0.0
-417.1736369999999	0.0
-416.6616369999999	0.0
-416.1496369999999	0.0
-415.6376369999999	0.0
-415.1256369999999	0.0
-414.6136369999999	0.0
-414.1016369999999	0.0
-413.5896369999999	0.0
-413.0776369999999	0.0
-412.5656369999999	0.0
-412.0536369999999	0.0
-411.5416369999999	0.0
-411.0296369999999	0.0
-410.5176369999999	0.0
-410.0056369999999	0.0
-409.4936369999999	0.0
-408.9816369999999	0.0
-408.4696369999999	0.0
-407.9576369999999	0.0
-407.4456369999999	0.0
-406.9336369999999	0.0
-406.4216369999999	0.0
-405.9096369999999	0.0
-405.3976369999999	0.0
-404.8856369999999	0.0
-404.3736369999999	0.0
-403.8616369999999	0.0
-403.3496369999999	0.0
-402.8376369999999	0.0
-402.3256369999999	0.0
-401.8136369999999	0.0
-401.3016369999999	0.0
-400.7896369999999	0.0
-400.2776369999999	0.0
-399.7656369999999	0.0
-399.2536369999999	0.0
-398.7416369999999	0.0
-398.2296369999999	0.0
-397.7176369999999	0.0
-397.2056369999999	0.0
-396.6936369999999	0.0
-396.1816369999999	0.0
-395.6696369999999	0.0
-395.1576369999999	0.0
-394.6456369999999	0.0
-394.1336369999999	0.0
-393.6216369999999	0.0
-393.1096369999999	0.0
-392.5976369999999	0.0
-392.0856369999999	0.0
-391.5736369999999	0.0
-391.0616369999999	0.0
-390.5496369999999	0.0
-390.0376369999999	0.0
-389.5256369999999	0.0
-389.0136369999999	0.0
-388.5016369999999	0.0
-387.9896369999999	0.0
-387.4776369999999	0.0
-386.9656369999999	0.0
-386.4536369999999	0.0
-385.9416369999999	0.0
-385.4296369999999	0.0
-384.9176369999999	0.0
-384.4056369999999	0.0
-383.8936369999999	0.0
-383.3816369999999	0.0
-382.8696369999999	0.0
-382.3576369999999	0.0
-381.8456369999999	0.0
-381.3336369999999	0.0
-380.8216369999999	0.0
-380.3096369999999	0.0
-379.7976369999999	0.0
-379.2856369999999	0.0
-378.7736369999999	0.0
-378.2616369999999	0.0
-377.7496369999999	0.0
-377.2376369999999	0.0
-376.7256369999999	0.0
-376.2136369999999	0.0
-375.7016369999999	0.0
-375.1896369999999	0.0
-374.6776369999999	0.0
-374.1656369999999	0.0
-373.6536369999999	0.0
-373.1416369999999	0.0
-372.6296369999999	0.0
-372.1176369999999	0.0
-371.6056369999999	0.0
-371.0936369999999	0.0
-370.5816369999999	0.0
-370.0696369999999	0.0
-369.5576369999999	0.0
-369.0456369999999	0.0
-368.5336369999999	0.0
-368.0216369999999	0.0
-367.5096369999999	0.0
-366.9976369999999	0.0
-366.4856369999999	0.0
-365.9736369999999	0.0
-365.4616369999999	0.0
-364.9496369999999	0.0
-364.4376369999999	0.0
-363.9256369999999	0.0
-363.4136369999999	0.0
-362.9016369999999	0.0
-362.3896369999999	0.0
-361.8776369999999	0.0
-361.3656369999999	0.0
-360.8536369999999	0.0
-360.3416369999999	0.0
-359.8296369999999	0.0
-359.3176369999999	0.0
-358.8056369999999	0.0
-358.2936369999999	0.0
-357.7816369999999	0.0
-357.2696369999999	0.0
-356.7576369999999	0.0
-356.2456369999999	0.0
-355.7336369999999	0.0
-355.2216369999999	0.0
-354.7096369999999	0.0
-354.1976369999999	0.0
-353.6856369999999	0.0
-353.17363699999987	0.0
-352.66163699999987	0.0
-352.14963699999987	0.0
-351.63763699999987	0.0
-351.12563699999987	0.0
-350.61363699999987	0.0
-350.10163699999987	0.0
-349.58963699999987	0.0
-349.07763699999987	0.0
-348.56563699999987	0.0
-348.05363699999987	0.0
-347.54163699999987	0.0
-347.02963699999987	0.0
-346.51763699999987	0.0
-346.00563699999987	0.0
-345.49363699999986	0.0
-344.98163699999986	0.0
-344.46963699999986	0.0
-343.95763699999986	0.0
-343.44563699999986	0.0
-342.93363699999986	0.0
-342.42163699999986	0.0
-341.90963699999986	0.0
-341.39763699999986	0.0
-340.88563699999986	0.0
-340.37363699999986	0.0
-339.86163699999986	0.0
-339.34963699999986	0.0
-338.83763699999986	0.0
-338.32563699999986	0.0
-337.81363699999986	0.0
-337.30163699999986	0.0
-336.78963699999986	0.0
-336.27763699999986	0.0
-335.76563699999986	0.0
-335.25363699999986	0.0
-334.74163699999986	0.0
-334.22963699999985	0.0
-333.71763699999985	0.0
-333.20563699999985	0.0
-332.69363699999985	0.0
-332.18163699999985	0.0
-331.66963699999985	0.0
-331.15763699999985	0.0
-330.64563699999985	0.0
-330.13363699999985	0.0
-329.62163699999985	0.0
-329.10963699999985	0.0
-328.59763699999985	0.0
-328.08563699999985	0.0
-327.57363699999985	0.0
-327.06163699999985	0.0
-326.54963699999985	0.0
-326.03763699999985	0.0
-325.52563699999985	0.0
-325.01363699999985	0.0
-324.50163699999985	0.0
-323.98963699999985	0.0
-323.47763699999985	0.0
-322.96563699999984	0.0
-322.45363699999984	0.0
-321.94163699999984	0.0
-321.42963699999984	0.0
-320.91763699999984	0.0
-320.40563699999984	0.0
-319.89363699999984	0.0
-319.38163699999984	0.0
-318.86963699999984	0.0
-318.35763699999984	0.0
-317.84563699999984	0.0
-317.33363699999984	0.0
-316.82163699999984	0.0
-316.30963699999984	0.0
-315.79763699999984	0.0
-315.28563699999984	0.0
-314.77363699999984	0.0
-314.26163699999984	0.0
-313.74963699999984	0.0
-313.23763699999984	0.0
-312.72563699999984	0.0
-312.21363699999984	0.0
-311.70163699999983	0.0
-311.18963699999983	0.0
-310.67763699999983	0.0
-310.16563699999983	0.0
-309.65363699999983	0.0
-309.14163699999983	0.0
-308.62963699999983	0.0
-308.11763699999983	0.0
-307.60563699999983	0.0
-307.09363699999983	0.0
-306.58163699999983	0.0
-306.06963699999983	0.0
-305.55763699999983	0.0
-305.04563699999983	0.0
-304.5336369999998	0.0
-304.0216369999998	0.0
-303.5096369999998	0.0
-302.9976369999998	0.0
-302.4856369999998	0.0
-301.9736369999998	0.0
-301.4616369999998	0.0
-300.9496369999998	0.0
-300.4376369999998	0.0
-299.9256369999998	0.0
-299.4136369999998	0.0
-298.9016369999998	0.0
-298.3896369999998	0.0
-297.8776369999998	0.0
-297.3656369999998	0.0
-296.8536369999998	0.0
-296.3416369999998	0.0
-295.8296369999998	0.0
-295.3176369999998	0.0
-294.8056369999998	0.0
-294.2936369999998	0.0
-293.7816369999998	0.0
-293.2696369999998	0.0
-292.7576369999998	0.0
-292.2456369999998	0.0
-291.7336369999998	0.0
-291.2216369999998	0.0
-290.7096369999998	0.0
-290.1976369999998	0.0
-289.6856369999998	0.0
-289.1736369999998	0.0
-288.6616369999998	0.0
-288.1496369999998	0.0
-287.6376369999998	0.0
-287.1256369999998	0.0
-286.6136369999998	0.0
-286.1016369999998	0.0
-285.5896369999998	0.0
-285.0776369999998	0.0
-284.5656369999998	0.0
-284.0536369999998	0.0
-283.5416369999998	0.0
-283.0296369999998	0.0
-282.5176369999998	0.0
-282.0056369999998	0.0
-281.4936369999998	0.0
-280.9816369999998	0.0
-280.4696369999998	0.0
-279.9576369999998	0.0
-279.4456369999998	0.0
-278.9336369999998	0.0
-278.4216369999998	0.0
-277.9096369999998	0.0
-277.3976369999998	0.0
-276.8856369999998	0.0
-276.3736369999998	0.0
-275.8616369999998	0.0
-275.3496369999998	0.0
-274.8376369999998	0.0
-274.3256369999998	0.0
-273.8136369999998	0.0
-273.3016369999998	0.0
-272.7896369999998	0.0
-272.2776369999998	0.0
-271.7656369999998	0.0
-271.2536369999998	0.0
-270.7416369999998	0.0
-270.2296369999998	0.0
-269.7176369999998	0.0
-269.2056369999998	0.0
-268.6936369999998	0.0
-268.1816369999998	0.0
-267.6696369999998	0.0
-267.1576369999998	0.0
-266.6456369999998	0.0
-266.1336369999998	0.0
-265.6216369999998	0.0
-265.1096369999998	0.0
-264.5976369999998	0.0
-264.0856369999998	0.0
-263.5736369999998	0.0
-263.0616369999998	0.0
-262.5496369999998	0.0
-262.0376369999998	0.0
-261.5256369999998	0.0
-261.0136369999998	0.0
-260.5016369999998	0.0
-259.9896369999998	0.0
-259.4776369999998	0.0
-258.9656369999998	0.0
-258.4536369999998	0.0
-257.9416369999998	0.0
-257.4296369999998	0.0
-256.9176369999998	0.0
-256.4056369999998	0.0
-255.89363699999979	0.0
-255.38163699999978	0.0
-254.86963699999978	0.0
-254.35763699999978	0.0
-253.84563699999978	0.0
-253.33363699999978	0.0
-252.82163699999978	0.0
-252.30963699999978	0.0
-251.79763699999978	0.0
-251.28563699999978	0.0
-250.77363699999978	0.0
