DifferenceValue 	 Stop
3117997335	3
3138738952	4
3308015413	5
366874188	1
2061843405	2
2456864505	3
2735803918	4
2800868912	5
73357724	1
779336449	2
2110304268	3
2166327521	4
2861317949	5
196447816	1
1472405542	2
2678410294	3
2917431415	4
3954431241	5
2396972408	1
2695001971	2
2952979770	3
3015964699	4
3605997102	5
270890242	1
361870074	2
3318885374	3
3523878303	4
117615551	1
496634797	2
781629348	3
1280650218	4
1827642797	5
1251432747	1
1307376043	2
1689436978	3
1979389838	4
3433429192	5
468635484	1
661576807	2
739600093	3
834581731	4
918598413	5
269109496	1
1579037260	2
2094056415	3
2465075944	4
3305036275	5
725251623	1
770234927	2
1630275166	3
1666216840	4
3613259971	5
26479740	1
1129476379	2
1552497393	3
1768446887	4
3077463110	5
125798772	1
1313857101	2
1355800452	3
2271837523	4
2504857217	5
140505159	1
807495942	2
924477333	3
1863470956	4
2078487362	5
716851691	1
1353842594	2
3307849320	3
3554790582	4
3670813718	5
1044693413	1
1350673065	2
1594652601	3
1784712260	4
2809712202	5
1049938428	1
2198933036	2
2539947587	3
2624929152	4
2654952341	5
1274925067	1
1852992377	2
2595982931	3
3294976731	4
3989993999	5
320829946	1
475849942	2
2390815514	3
3420851449	4
98706449	1
1789693527	2
2070714851	3
2546694570	4
124392160	1
826424514	2
1362376797	3
3198415761	4
3237370652	5
1094662670	1
1150605965	2
2565676753	3
2781629694	4
2881652818	5
156575426	1
1774582730	2
1978563949	3
2279585165	4
2419564993	5
66072241	1
2272002203	2
3608032580	3
3822012409	4
464764951	1
1018797607	2
1202777062	3
3352784189	4
3617803866	5
1184090144	1
1559031469	2
1861064181	3
2729022950	4
3210044045	5
89793715	1
1948842764	2
2582823574	3
2683805137	4
3447844040	5
1679156501	1
1769096377	2
2215127318	3
2854144855	4
3750102055	5
1712924579	1
1733989628	2
3128987485	3
3397978755	4
3418722033	5
435769521	1
679749188	2
797773929	3
836757308	4
2646775959	5
483049452	1
959028821	2
1541061224	3
2729017861	4
3457048409	5
537639152	1
1778634166	2
2194613522	3
2256635094	4
2319618217	5
544533037	1
740594378	2
900575715	3
1190551893	4
1677571368	5
660481677	1
1059474371	2
1349455475	3
2093486142	4
2253465796	5
512195498	1
532938659	2
583138679	3
2083154811	4
3318158288	5
123422498	1
1436419080	2
2264381314	3
2500442713	4
2686422440	5
576988173	1
1484949269	2
1989968808	3
3416939471	4
3974997565	5
717205122	1
737948224	2
871198108	3
1429175849	4
3005185645	5
813661739	1
875685121	2
1137664582	3
1382729229	4
1935670268	5
325308212	1
843287467	2
1651244611	3
3165272252	4
3508291929	5
1387030777	1
2127061399	2
3187017852	3
3286002898	4
495905590	1
841885371	2
1602879403	3
2147870365	4
3632861906	5
652718914	1
1004668419	2
1903668883	3
2075648643	4
3901659546	5
946521100	1
1208552240	2
2933550965	3
3591504811	4
45603223	1
501633977	2
1187602991	3
1341582540	4
1819641738	5
145592935	1
1073571487	2
3248616071	3
3269359170	4
3413594037	5
271474701	1
817450446	2
911473714	3
1297426359	4
3623434135	5
507437674	1
1092431646	2
2354469513	3
3875440282	4
3896183269	5
329297601	1
491278876	2
1996276384	3
2357345782	4
2792284847	5
1677679038	1
1719702222	2
1740685471	3
2482644243	4
1245500232	1
2031538655	2
2427493103	3
2583469375	4
3822467230	5
107089286	1
461040468	2
1968036294	3
2506061862	4
2710043193	5
514392764	1
1618370944	2
3044404991	3
3437397632	4
3710418783	5
767257769	1
1305288497	2
2737242811	3
2821266060	4
3947224142	5
1792850543	1
1979870248	2
2096853267	3
3426857672	4
3508880795	5
939890182	1
1414907798	2
2638855555	3
2663838692	4
1023058493	1
1122041708	2
2821038920	3
3504031253	4
3746010867	5
177077222	1
419138736	2
895086727	3
2855098667	4
3281078265	5
77199383	1
707227683	2
1614225828	3
1929245711	4
3962218583	5
307527184	1
440520631	2
809540464	3
964557281	4
1036500522	5
1346564993	1
2368524181	2
2464547427	3
2622527137	4
2648550558	5
1946967063	1
2328948050	2
2349691210	3
2949017100	4
3610996219	5
200940573	1
1347937384	2
2256935644	3
2860004697	4
3042944285	5
543832788	1
1465872855	2
1933852091	3
2177833368	4
3512884332	5
280701293	1
356644530	2
1244713232	3
2076705060	4
2932663681	5
49544242	1
1274592014	2
1806571429	3
2031591086	4
3555600131	5
544976995	1
696958610	2
1282923890	3
2175922440	4
2501901852	5
417962902	1
520945967	2
1115966556	3
1960966730	4
2263959422	5
1810514093	1
2124493388	2
2902453681	3
590557513	1
1220587899	2
1560569111	3
2632605528	4
3557605528	5
99850703	1
2863910479	2
2884653870	3
3305851457	4
3508871116	5
87863742	1
349845077	2
520864843	3
940813949	4
3741834063	5
469524857	1
2049550506	2
2584489686	3
2867564180	4
834244026	1
1386224827	2
2190186804	3
3787167489	4
3809190722	5
37628304	1
1806675657	2
1984657052	3
2380607998	4
3737622450	5
721313717	1
778296907	2
1011316442	3
2207352567	4
3357310877	5
226932395	1
2123917429	2
2237860498	3
2764876276	4
29869497	1
221931128	2
1018929854	3
3819896606	4
3853919949	5
833703152	1
991684601	2
1012437848	3
1381712138	4
1666731797	5
268462420	1
1672465202	2
2033486323	3
2716475312	4
2737218531	5
646219049	1
1988225483	2
3320263466	3
3886234235	4
898196657	1
1772175619	2
2796214069	3
3219155104	4
3407214822	5
1291675270	1
1859706124	2
2330723570	3
2759716209	4
3736716383	5
384537267	1
704568359	2
1398547302	3
2117536049	4
2254557627	5
2018742229	1
2293763396	2
2628784549	3
3250735155	4
3445755045	5
1715044359	1
2628072933	2
3443019764	3
3463763041	4
3833012461	5
977785149	1
2645810470	2
2727750406	3
3175809658	4
3857762006	5
200989922	1
2169956561	2
2190699843	3
2439976138	4
2487999305	5
1581236201	1
2196228374	2
2240251565	3
3488209358	4
3779280554	5
141498493	1
262481679	2
3346461445	3
3377524814	4
3771504058	5
126278702	1
936235507	2
1735234232	3
3128231797	4
3361222985	5
575951070	1
972888744	2
1673899356	3
2444899762	4
2577921205	5
626044252	1
1583040834	2
1886032145	3
1923015345	4
1088229938	1
1388211093	2
1522192480	3
2337192886	4
3527230807	5
1644377902	1
1712399315	2
2516356372	3
3044388753	4
3909388753	5
296177353	1
1671144714	2
2522145004	3
2550168307	4
3628204663	5
49205297	1
559262696	2
701214109	3
1263194920	4
2467231333	5
20154927	1
1225151507	2
3335154347	3
3519135742	4
3797113640	5
1507131028	1
2322142924	2
2841161937	3
3079141533	4
3472132536	5
166935820	1
900969600	2
1606920002	3
2831916293	4
3431965312	5
87757014	1
1524799561	2
2357746509	3
2594737698	4
3203756608	5
136507999	1
1551555544	2
1584538895	3
1799558442	4
2054496232	5
767466946	1
835488518	2
1654488808	3
2168517964	4
2445455812	5
157281540	1
1198278293	2
1475297716	3
2556296034	4
2577039425	5
576846038	1
857867180	2
878610287	3
2634870887	4
3292851483	5
566613726	1
690636821	2
1649636879	3
2471597095	4
2876618046	5
45056706	1
142039789	2
177023001	3
751063717	4
2032066324	5
66874594	1
1152912512	2
1750891466	3
2054922542	4
2684901380	5
238762236	1
360785187	2
1624742925	3
2334771514	4
2497792899	5
114658743	1
855649351	2
909590793	3
2032587199	4
2877604186	5
405603903	1
685663253	2
1384653806	3
2619651604	4
2835620943	5
51185504	1
892205755	2
1650246323	3
1955184345	4
2489243368	5
694856403	1
1731852981	2
1783876218	3
2710876334	4
3694834944	5
672980277	1
3140983062	2
3161726333	3
3208001334	4
3681000522	5
629015900	1
2066973512	2
2488954560	3
3352992987	4
3723025753	5
80832957	1
1688837017	2
1711820200	3
1991878003	4
2012621405	5
2300786768	1
2329770168	2
2447791405	3
2541726471	4
3696732788	5
2155659515	1
2294680887	2
2857698405	3
3581732282	4
3853713429	5
38373262	1
756431937	2
1175424462	3
1218407831	4
1551427127	5
93346182	1
687404971	2
716388507	3
785371580	4
3587376449	5
141643865	1
279621871	2
639653021	3
1329633344	4
1761585769	5
388519464	1
570499131	2
1276527922	3
2526503708	4
3435503823	5
1133668189	1
1739613692	2
1979675090	3
3117631321	4
3657663608	5
183651283	1
2080619669	2
2651612078	3
3106631175	4
3697622045	5
647571889	1
1419530542	2
2889557922	3
3825517734	4
190478999	1
774511302	2
1627507940	3
2415466538	4
3430464567	5
846704448	1
2140663913	2
2452721603	3
2967710591	4
