Channel A: 
Mode: 2
N1/T1: 40.65 µs
Channel B: 
Mode: 1
N2/T2: 40.65 µs
tau (µs)	g2 Values
-587.0137680000129	0.0
-586.5017680000129	0.0
-585.989768000013	0.0
-585.477768000013	0.0
-584.9657680000131	0.0
-584.4537680000132	0.0
-583.9417680000132	0.0
-583.4297680000133	0.0
-582.9177680000133	0.0
-582.4057680000134	0.0
-581.8937680000134	0.0
-581.3817680000135	0.0
-580.8697680000136	0.0
-580.3577680000136	0.0
-579.8457680000137	0.0
-579.3337680000137	0.0
-578.8217680000138	0.0
-578.3097680000138	0.0
-577.7977680000139	0.0
-577.285768000014	0.0
-576.773768000014	0.0
-576.2617680000141	0.0
-575.7497680000141	0.0
-575.2377680000142	0.0
-574.7257680000142	0.0
-574.2137680000143	0.0
-573.7017680000143	0.0
-573.1897680000144	0.0
-572.6777680000145	0.0
-572.1657680000145	0.0
-571.6537680000146	0.0
-571.1417680000146	0.0
-570.6297680000147	0.0
-570.1177680000147	0.0
-569.6057680000148	0.0
-569.0937680000148	0.0
-568.5817680000149	0.0
-568.069768000015	0.0
-567.557768000015	0.0
-567.0457680000151	0.0
-566.5337680000151	0.0
-566.0217680000152	0.0
-565.5097680000152	0.0
-564.9977680000153	0.0
-564.4857680000154	0.0
-563.9737680000154	0.0
-563.4617680000155	0.0
-562.9497680000155	0.0
-562.4377680000156	0.0
-561.9257680000156	0.0
-561.4137680000157	0.0
-560.9017680000157	0.0
-560.3897680000158	0.0
-559.8777680000159	0.0
-559.3657680000159	0.0
-558.853768000016	0.0
-558.341768000016	0.0
-557.8297680000161	0.0
-557.3177680000161	0.0
-556.8057680000162	0.0
-556.2937680000163	0.0
-555.7817680000163	0.0
-555.2697680000164	0.0
-554.7577680000164	0.0
-554.2457680000165	0.0
-553.7337680000165	0.0
-553.2217680000166	0.0
-552.7097680000167	0.0
-552.1977680000167	0.0
-551.6857680000168	0.0
-551.1737680000168	0.0
-550.6617680000169	0.0
-550.1497680000169	0.0
-549.637768000017	0.0
-549.125768000017	0.0
-548.6137680000171	0.0
-548.1017680000172	0.0
-547.5897680000172	0.0
-547.0777680000173	0.0
-546.5657680000173	0.0
-546.0537680000174	0.0
-545.5417680000174	0.0
-545.0297680000175	0.0
-544.5177680000176	0.0
-544.0057680000176	0.0
-543.4937680000177	0.0
-542.9817680000177	0.0
-542.4697680000178	0.0
-541.9577680000178	0.0
-541.4457680000179	0.0
-540.933768000018	0.0
-540.421768000018	0.0
-539.9097680000181	0.0
-539.3977680000181	0.0
-538.8857680000182	0.0
-538.3737680000182	0.0
-537.8617680000183	0.0
-537.3497680000183	0.0
-536.8377680000184	0.0
-536.3257680000185	0.0
-535.8137680000185	0.0
-535.3017680000186	0.0
-534.7897680000186	0.0
-534.2777680000187	0.0
-533.7657680000187	0.0
-533.2537680000188	0.0
-532.7417680000189	0.0
-532.2297680000189	0.0
-531.717768000019	0.0
-531.205768000019	0.0
-530.6937680000191	0.0
-530.1817680000191	0.0
-529.6697680000192	0.0
-529.1577680000192	0.0
-528.6457680000193	0.0
-528.1337680000194	0.0
-527.6217680000194	0.0
-527.1097680000195	0.0
-526.5977680000195	0.0
-526.0857680000196	0.0
-525.5737680000196	0.0
-525.0617680000197	0.0
-524.5497680000198	0.0
-524.0377680000198	0.0
-523.5257680000199	0.0
-523.0137680000199	0.0
-522.50176800002	0.0
-521.98976800002	0.0
-521.4777680000201	0.0
-520.9657680000201	0.0
-520.4537680000202	0.0
-519.9417680000203	0.0
-519.4297680000203	0.0
-518.9177680000204	0.0
-518.4057680000204	0.0
-517.8937680000205	0.0
-517.3817680000205	0.0
-516.8697680000206	0.0
-516.3577680000207	0.0
-515.8457680000207	0.0
-515.3337680000208	0.0
-514.8217680000208	0.0
-514.3097680000209	0.0
-513.7977680000209	0.0
-513.285768000021	0.0
-512.773768000021	0.0
-512.2617680000211	0.0
-511.74976800002116	0.0
-511.2377680000212	0.0
-510.7257680000213	0.0
-510.21376800002133	0.0
-509.7017680000214	0.0
-509.18976800002145	0.0
-508.6777680000215	0.0
-508.16576800002156	0.0
-507.6537680000216	0.0
-507.14176800002167	0.0
-506.6297680000217	0.0
-506.1177680000218	0.0
-505.60576800002184	0.0
-505.0937680000219	0.0
-504.58176800002195	0.0
-504.069768000022	0.0
-503.55776800002207	0.0
-503.0457680000221	0.0
-502.5337680000222	0.0
-502.02176800002223	0.0
-501.5097680000223	0.0
-500.99776800002235	0.0
-500.4857680000224	0.0
-499.97376800002246	0.0
-499.4617680000225	0.0
-498.9497680000226	0.0
-498.43776800002263	0.0
-497.9257680000227	0.0
-497.41376800002274	0.0
-496.9017680000228	0.0
-496.38976800002285	0.0
-495.8777680000229	0.0
-495.36576800002297	0.0
-494.853768000023	0.0
-494.3417680000231	0.0
-493.82976800002314	0.0
-493.3177680000232	0.0
-492.80576800002325	0.0
-492.2937680000233	0.0
-491.78176800002336	0.0
-491.2697680000234	0.0
-490.7577680000235	0.0
-490.24576800002353	0.0
-489.7337680000236	0.0
-489.22176800002364	0.0
-488.7097680000237	0.0
-488.19776800002376	0.0
-487.6857680000238	0.0
-487.17376800002387	0.0
-486.6617680000239	0.0
-486.149768000024	0.0
-485.63776800002404	0.0
-485.1257680000241	0.0
-484.61376800002415	0.0
-484.1017680000242	0.0
-483.58976800002426	0.0
-483.0777680000243	0.0
-482.5657680000244	0.0
-482.05376800002443	0.0
-481.5417680000245	0.0
-481.02976800002455	0.0
-480.5177680000246	0.0
-480.00576800002466	0.0
-479.4937680000247	0.0
-478.9817680000248	0.0
-478.4697680000248	0.0
-477.9577680000249	0.0
-477.44576800002494	0.0
-476.933768000025	0.0
-476.42176800002505	0.0
-475.9097680000251	0.0
-475.39776800002517	0.0
-474.8857680000252	0.0
-474.3737680000253	0.0
-473.86176800002534	0.0
-473.3497680000254	0.0
-472.83776800002545	0.0
-472.3257680000255	0.0
-471.81376800002556	0.0
-471.3017680000256	0.0
-470.7897680000257	0.0
-470.27776800002573	0.0
-469.7657680000258	0.0
-469.25376800002584	0.0
-468.7417680000259	0.0
-468.22976800002596	0.0
-467.717768000026	0.0
-467.20576800002607	0.0
-466.6937680000261	0.0
-466.1817680000262	0.0
-465.66976800002624	0.0
-465.1577680000263	0.0
-464.64576800002635	0.0
-464.1337680000264	0.0
-463.62176800002646	0.0
-463.1097680000265	0.0
-462.5977680000266	0.0
-462.08576800002663	0.0
-461.5737680000267	0.0
-461.06176800002675	0.0
-460.5497680000268	0.0
-460.03776800002686	0.0
-459.5257680000269	0.0
-459.01376800002697	0.0
-458.501768000027	0.0
-457.9897680000271	0.0
-457.47776800002714	0.0
-456.9657680000272	0.0
-456.45376800002725	0.0
-455.9417680000273	0.0
-455.42976800002737	0.0
-454.9177680000274	0.0
-454.4057680000275	0.0
-453.89376800002753	0.0
-453.3817680000276	0.0
-452.86976800002765	0.0
-452.3577680000277	0.0
-451.84576800002776	0.0
-451.3337680000278	0.0
-450.8217680000279	0.0
-450.30976800002793	0.0
-449.797768000028	0.0
-449.28576800002804	0.0
-448.7737680000281	0.0
-448.26176800002816	0.0
-447.7497680000282	0.0
-447.23776800002827	0.0
-446.7257680000283	0.0
-446.2137680000284	0.0
-445.70176800002844	0.0
-445.1897680000285	0.0
-444.67776800002855	0.0
-444.1657680000286	0.0
-443.65376800002866	0.0
-443.1417680000287	0.0
-442.6297680000288	0.0
-442.11776800002883	0.0
-441.6057680000289	0.0
-441.09376800002894	0.0
-440.581768000029	0.0
-440.06976800002906	0.0
-439.5577680000291	0.0
-439.04576800002917	0.0
